customer_id,age,sex,employment_type,employment_years,monthly_income,cibil_score,past_loans,on_time_payments,late_payments,defaults,existing_loans,existing_emi,credit_utilization,dti_ratio,bank_balance,savings_balance,new_loan_amount,loan_duration_months,loan_purpose,identity_verified,address_verified,employment_verified,background_verified,collateral_available,credit_risk
CUST100001,59,female,business,2.7,120900,603,3,45,6,1,1,47800.0,0.083,0.598,487700.0,249700.0,441100,18,vehicle,1,1,1,1,1,0
CUST100002,29,male,contract,9.7,52500,665,4,79,9,0,0,15100.0,0.234,0.362,280900.0,91300.0,233200,60,personal,1,1,0,1,0,0
CUST100003,22,female,self_employed,20.9,76300,767,3,57,0,0,2,9700.0,0.394,0.217,405100.0,360200.0,329000,48,home_improvement,1,1,1,1,0,1
CUST100004,49,male,salaried,6.9,15200,606,1,8,2,1,1,10600.0,0.415,0.78,39700.0,10900.0,45200,36,personal,1,1,1,1,0,0
CUST100005,37,female,salaried,6.3,44600,705,2,33,1,0,1,12800.0,0.643,0.516,262400.0,166400.0,183600,18,consumer,1,1,1,1,1,0
CUST100006,42,female,contract,26.4,33800,800,4,43,1,0,1,9100.0,0.129,0.368,113100.0,38300.0,119900,36,vehicle,1,1,1,1,1,1
CUST100007,24,male,salaried,0.8,30200,643,2,19,3,0,2,3300.0,0.325,0.199,32500.0,7200.0,97500,36,consumer,1,1,1,1,1,0
CUST100008,37,male,business,3.1,40900,672,3,38,4,0,3,5100.0,0.51,0.218,272600.0,145800.0,228600,60,business,1,1,1,1,1,0
CUST100009,49,female,salaried,6.0,36000,675,2,43,3,0,1,9600.0,0.92,0.425,174600.0,102100.0,137000,24,business,1,1,1,1,1,0
CUST100010,36,male,self_employed,3.3,27400,640,2,26,2,0,1,12100.0,0.552,0.616,74200.0,20000.0,172100,36,consumer,1,1,1,1,0,0
CUST100011,58,female,salaried,6.6,27000,707,2,31,3,0,1,8800.0,0.222,0.378,160600.0,122300.0,84900,60,business,1,1,1,1,0,0
CUST100012,56,female,self_employed,2.6,28500,677,6,74,4,0,1,4800.0,0.3,0.205,51800.0,36600.0,61800,60,personal,1,1,1,1,1,0
CUST100013,52,female,salaried,5.5,39700,650,0,0,0,0,0,11600.0,0.033,0.405,183200.0,101800.0,214900,48,education,1,1,1,1,1,0
CUST100014,61,female,salaried,13.5,77900,727,6,67,5,0,6,20200.0,0.633,0.538,153000.0,117100.0,521900,24,business,1,1,0,1,0,1
CUST100015,53,male,self_employed,5.6,112100,651,5,69,1,0,2,16900.0,0.309,0.328,246000.0,74900.0,476100,24,education,1,1,0,1,1,0
CUST100016,28,male,contract,2.8,29700,666,2,43,1,0,0,2800.0,0.224,1.037,20600.0,17000.0,168000,6,personal,1,1,1,1,1,0
CUST100017,59,male,salaried,7.0,79500,790,5,81,4,0,3,31200.0,0.412,0.531,149300.0,118000.0,397400,36,home_improvement,1,1,1,1,0,1
CUST100018,50,female,business,11.5,53100,736,3,47,1,0,1,800.0,0.46,0.321,150900.0,104800.0,195100,12,vehicle,1,1,0,1,1,1
CUST100019,25,male,salaried,6.5,55900,710,2,24,2,0,3,16800.0,0.612,0.422,93900.0,78600.0,325100,48,personal,1,1,1,1,1,0
CUST100020,34,female,self_employed,2.7,116500,705,2,34,4,0,2,25300.0,0.401,0.298,327900.0,260100.0,341100,36,vehicle,1,1,1,1,1,0
CUST100021,28,male,contract,9.9,54500,758,2,37,1,0,2,10900.0,0.666,0.32,150800.0,96200.0,314600,48,personal,1,1,1,1,1,1
CUST100022,64,male,business,6.1,72900,645,3,30,0,0,1,27300.0,0.185,0.468,508500.0,121100.0,123100,18,consumer,1,1,0,1,0,0
CUST100023,53,female,contract,5.8,114500,705,2,38,2,0,0,39200.0,0.071,0.697,396800.0,201600.0,243800,6,consumer,1,1,1,1,0,1
CUST100024,62,female,self_employed,9.8,59600,710,0,0,0,0,0,22400.0,0.096,0.874,153400.0,113800.0,356300,12,education,1,1,1,1,1,0
CUST100025,33,female,contract,6.0,84000,697,1,23,1,0,1,24500.0,0.251,0.374,175400.0,90800.0,82700,12,medical,1,1,1,1,0,0
CUST100026,49,male,self_employed,5.4,72200,769,2,34,0,0,0,8700.0,0.37,0.227,138700.0,69300.0,553800,72,vehicle,1,1,1,1,0,1
CUST100027,48,female,self_employed,19.5,32400,735,2,32,2,0,3,5300.0,0.262,0.185,151400.0,126700.0,49300,72,vehicle,1,1,1,1,1,1
CUST100028,54,female,salaried,5.8,23600,707,5,80,5,0,1,3300.0,0.253,0.197,135400.0,64800.0,64500,48,vehicle,1,1,1,1,1,0
CUST100029,26,male,contract,2.1,123600,720,3,55,2,0,0,12500.0,0.285,0.319,444400.0,147000.0,647600,24,vehicle,1,1,1,1,1,1
CUST100030,44,male,salaried,8.0,93700,707,3,29,1,0,2,10100.0,0.497,0.251,470200.0,183600.0,482100,36,education,1,1,1,1,0,1
CUST100031,50,male,salaried,9.6,116500,686,2,32,2,0,0,8100.0,0.552,0.138,438200.0,372000.0,288500,36,vehicle,1,1,1,1,1,1
CUST100032,58,male,salaried,12.1,30200,702,6,80,4,0,0,9300.0,0.256,0.587,161100.0,69400.0,202600,24,personal,1,1,1,1,0,0
CUST100033,50,female,self_employed,4.4,31300,649,1,14,0,0,0,11700.0,0.253,0.499,42400.0,15500.0,70300,18,consumer,1,1,0,1,0,0
CUST100034,41,male,business,6.3,52200,675,3,26,4,0,2,8800.0,0.169,1.143,114200.0,98800.0,305200,6,home_improvement,1,1,1,1,1,0
CUST100035,41,male,self_employed,20.6,42300,785,3,31,2,0,3,3000.0,0.344,0.149,273000.0,171100.0,78900,24,home_improvement,1,1,1,1,0,1
